dataset,fea_dim_pair,model,seed,auc,bce_loss
criteo,"{'1': 5, '2': 4, '3': 8, '4': 8, '5': 10, '6': 12, '7': 8, '8': 6, '9': 7, '10': 5, '11': 9, '12': 2, '13': 7, '14': 7, '15': 8, '16': 7, '17': 8, '18': 3, '19': 3, '20': 7, '21': 6, '22': 4, '23': 6, '24': 6, '25': 6, '26': 6, '27': 5, '28': 7, '29': 3, '30': 9, '31': 5, '32': 4, '33': 6, '34': 5, '35': 2, '36': 6, '37': 4, '38': 3, '39': 5}",widedeep,0,0.799969627734197,0.45345450297224404
criteo,"{'1': 5, '2': 4, '3': 8, '4': 8, '5': 10, '6': 12, '7': 8, '8': 6, '9': 7, '10': 5, '11': 9, '12': 2, '13': 7, '14': 7, '15': 8, '16': 7, '17': 8, '18': 3, '19': 3, '20': 7, '21': 6, '22': 4, '23': 6, '24': 6, '25': 6, '26': 6, '27': 5, '28': 7, '29': 3, '30': 9, '31': 5, '32': 4, '33': 6, '34': 5, '35': 2, '36': 6, '37': 4, '38': 3, '39': 5}",widedeep,1,0.7997931974945324,0.4537460316868101
criteo,"{'1': 6, '2': 2, '3': 2, '4': 4, '5': 8, '6': 11, '7': 6, '8': 7, '9': 5, '10': 9, '11': 11, '12': 3, '13': 10, '14': 2, '15': 11, '16': 8, '17': 8, '18': 5, '19': 3, '20': 7, '21': 6, '22': 11, '23': 4, '24': 6, '25': 5, '26': 11, '27': 2, '28': 6, '29': 4, '30': 8, '31': 6, '32': 2, '33': 8, '34': 4, '35': 6, '36': 9, '37': 5, '38': 6, '39': 7}",widedeep,0,0.8001482396361226,0.4530456304496905
criteo,"{'1': 6, '2': 2, '3': 2, '4': 4, '5': 8, '6': 11, '7': 6, '8': 7, '9': 5, '10': 9, '11': 11, '12': 3, '13': 10, '14': 2, '15': 11, '16': 8, '17': 8, '18': 5, '19': 3, '20': 7, '21': 6, '22': 11, '23': 4, '24': 6, '25': 5, '26': 11, '27': 2, '28': 6, '29': 4, '30': 8, '31': 6, '32': 2, '33': 8, '34': 4, '35': 6, '36': 9, '37': 5, '38': 6, '39': 7}",widedeep,1,0.7998266156414588,0.4534396139556963
criteo,"{'1': 6, '2': 16, '3': 14, '4': 4, '5': 6, '6': 8, '7': 8, '8': 12, '9': 3, '10': 1, '11': 2, '12': 5, '13': 2, '14': 3, '15': 13, '16': 12, '17': 15, '18': 13, '19': 9, '20': 11, '21': 7, '22': 1, '23': 8, '24': 10, '25': 10, '26': 8, '27': 13, '28': 16, '29': 3, '30': 14, '31': 10, '32': 6, '33': 8, '34': 12, '35': 1, '36': 7, '37': 7, '38': 11, '39': 10}",widedeep,0,0.8003180301740489,0.4528491397373651
criteo,"{'1': 6, '2': 16, '3': 14, '4': 4, '5': 6, '6': 8, '7': 8, '8': 12, '9': 3, '10': 1, '11': 2, '12': 5, '13': 2, '14': 3, '15': 13, '16': 12, '17': 15, '18': 13, '19': 9, '20': 11, '21': 7, '22': 1, '23': 8, '24': 10, '25': 10, '26': 8, '27': 13, '28': 16, '29': 3, '30': 14, '31': 10, '32': 6, '33': 8, '34': 12, '35': 1, '36': 7, '37': 7, '38': 11, '39': 10}",widedeep,1,0.8004666263069422,0.45293608524334367
criteo,"{'1': 7, '2': 8, '3': 6, '4': 11, '5': 11, '6': 14, '7': 2, '8': 13, '9': 4, '10': 8, '11': 3, '12': 12, '13': 6, '14': 10, '15': 14, '16': 12, '17': 8, '18': 10, '19': 12, '20': 12, '21': 10, '22': 3, '23': 8, '24': 15, '25': 9, '26': 7, '27': 10, '28': 10, '29': 1, '30': 9, '31': 16, '32': 10, '33': 5, '34': 3, '35': 8, '36': 12, '37': 14, '38': 12, '39': 16}",widedeep,0,0.8002497793360939,0.4530148907754746
criteo,"{'1': 7, '2': 8, '3': 6, '4': 11, '5': 11, '6': 14, '7': 2, '8': 13, '9': 4, '10': 8, '11': 3, '12': 12, '13': 6, '14': 10, '15': 14, '16': 12, '17': 8, '18': 10, '19': 12, '20': 12, '21': 10, '22': 3, '23': 8, '24': 15, '25': 9, '26': 7, '27': 10, '28': 10, '29': 1, '30': 9, '31': 16, '32': 10, '33': 5, '34': 3, '35': 8, '36': 12, '37': 14, '38': 12, '39': 16}",widedeep,1,0.8000515772092605,0.4533932568671192
movielens-1m,"{'age': 6, 'gender': 4, 'genres': 9, 'movie_id': 9, 'occupation': 3, 'timestamp': 15, 'title': 16, 'user_id': 11, 'zip': 6}",widedeep,0,0.7932007550011728,0.538253007513104
movielens-1m,"{'age': 6, 'gender': 4, 'genres': 9, 'movie_id': 9, 'occupation': 3, 'timestamp': 15, 'title': 16, 'user_id': 11, 'zip': 6}",widedeep,1,0.7948216234794367,0.5361670996203567
movielens-1m,"{'age': 6, 'gender': 2, 'genres': 6, 'movie_id': 15, 'occupation': 8, 'timestamp': 8, 'title': 12, 'user_id': 11, 'zip': 10}",widedeep,0,0.7937425983673865,0.5372646270376263
